Scale	N	Estimated Area	Relative Error
1.500000	90100	1.627417	91.963374
1.500000	90600	1.576192	92.216336
1.500000	91100	1.633782	91.931943
1.500000	91600	1.585734	92.169214
1.500000	92100	1.593396	92.131379
1.500000	92600	1.616501	92.017279
1.500000	93100	1.615650	92.021482
1.500000	93600	1.613293	92.033120
1.500000	94100	1.621076	91.994687
1.500000	94600	1.587035	92.162791
1.500000	95100	1.606585	92.066246
1.500000	95600	1.627202	91.964435
1.500000	96100	1.578699	92.203954
1.500000	96600	1.618113	92.009317
1.500000	97100	1.589343	92.151390
1.500000	97600	1.595310	92.121926
1.500000	98100	1.618968	92.005097
1.500000	98600	1.607883	92.059838
1.500000	99100	1.622452	91.987891
1.500000	99600	1.586250	92.166667
2.000000	100	1.800000	95.000000
2.000000	600	2.940000	91.833333
2.000000	1100	2.945455	91.818182
2.000000	1600	2.722500	92.437500
2.000000	2100	3.102857	91.380952
2.000000	2600	3.143077	91.269231
2.000000	3100	2.705806	92.483871
2.000000	3600	2.810000	92.194444
2.000000	4100	3.055610	91.512195
2.000000	4600	2.731304	92.413043
2.000000	5100	2.894118	91.960784
2.000000	5600	2.937857	91.839286
2.000000	6100	2.856393	92.065574
2.000000	6600	3.049091	91.530303
2.000000	7100	2.814085	92.183099
2.000000	7600	2.846842	92.092105
2.000000	8100	2.951111	91.802469
2.000000	8600	2.838140	92.116279
2.000000	9100	2.915604	91.901099
2.000000	9600	2.883750	91.989583
2.000000	10100	2.694653	92.514851
2.000000	10600	2.917358	91.896226
2.000000	11100	2.880000	92.000000
2.000000	11600	2.932759	91.853448
2.000000	12100	2.936529	91.842975
2.000000	12600	2.854286	92.071429
2.000000	13100	2.847023	92.091603
2.000000	13600	2.707941	92.477941
2.000000	14100	2.841702	92.106383
2.000000	14600	2.835616	92.123288
2.000000	15100	2.796556	92.231788
2.000000	15600	2.942308	91.826923
2.000000	16100	2.891180	91.968944
2.000000	16600	2.880000	92.000000
2.000000	17100	2.764211	92.321637
2.000000	17600	2.663182	92.602273
2.000000	18100	2.824309	92.154696
2.000000	18600	2.874194	92.016129
2.000000	19100	2.821571	92.162304
2.000000	19600	2.791837	92.244898
2.000000	20100	2.675821	92.567164
2.000000	20600	2.853786	92.072816
2.000000	21100	2.774218	92.293839
2.000000	21600	2.886667	91.981481
2.000000	22100	2.844163	92.099548
2.000000	22600	2.916637	91.898230
2.000000	23100	2.880000	92.000000
2.000000	23600	2.864746	92.042373
2.000000	24100	2.797842	92.228216
2.000000	24600	2.934146	91.849593
2.000000	25100	2.811155	92.191235
2.000000	25600	2.856094	92.066406
2.000000	26100	2.780690	92.275862
2.000000	26600	2.862406	92.048872
2.000000	27100	2.830849	92.136531
2.000000	27600	2.831739	92.134058
2.000000	28100	2.896655	91.953737
2.000000	28600	2.806993	92.202797
2.000000	29100	2.830515	92.137457
2.000000	29600	2.961486	91.773649
2.000000	30100	2.853688	92.073090
2.000000	30600	2.848235	92.088235
2.000000	31100	2.867267	92.035370
2.000000	31600	2.818481	92.170886
2.000000	32100	2.982056	91.716511
2.000000	32600	2.833620	92.128834
2.000000	33100	2.831057	92.135952
2.000000	33600	2.799643	92.223214
2.000000	34100	2.867331	92.035191
2.000000	34600	2.816532	92.176301
2.000000	35100	2.795897	92.233618
2.000000	35600	2.860787	92.053371
2.000000	36100	2.837119	92.119114
2.000000	36600	2.824918	92.153005
2.000000	37100	2.833423	92.129380
2.000000	37600	2.800532	92.220745
2.000000	38100	2.862992	92.047244
2.000000	38600	2.877202	92.007772
2.000000	39100	2.776880	92.286445
2.000000	39600	2.860909	92.053030
2.000000	40100	2.862045	92.049875
2.000000	40600	2.881773	91.995074
2.000000	41100	2.847591	92.090024
2.000000	41600	2.860096	92.055288
2.000000	42100	2.915914	91.900238
2.000000	42600	2.829296	92.140845
2.000000	43100	2.847425	92.090487
2.000000	43600	2.906422	91.926606
2.000000	44100	2.817143	92.174603
2.000000	44600	2.857399	92.062780
2.000000	45100	2.880798	91.997783
2.000000	45600	2.782895	92.269737
2.000000	46100	2.748026	92.366594
2.000000	46600	2.852961	92.075107
2.000000	47100	2.797452	92.229299
2.000000	47600	2.900420	91.943277
2.000000	48100	2.891975	91.966736
2.000000	48600	2.907407	91.923868
2.000000	49100	2.906395	91.926680
2.000000	49600	2.823387	92.157258
2.000000	50100	2.823952	92.155689
2.000000	50600	2.758340	92.337945
2.000000	51100	2.820117	92.166341
2.000000	51600	2.888372	91.976744
2.000000	52100	2.845451	92.095969
2.000000	52600	2.839620	92.112167
2.000000	53100	2.818305	92.171375
2.000000	53600	2.822239	92.160448
2.000000	54100	2.792163	92.243993
2.000000	54600	2.856923	92.064103
